SERIALNO,PUMA5,HWEIGHT,UNITTYPE,PERSONS,BLDGSZ,HINC
0000045,25080,22,0,1,09,68100
0000092,25060,17,0,3,05,105530
0000103,25090,21,0,2,06,359000
0000142,25100,25,0,2,02,141500
0000157,25100,0,1,1,  ,0
0000159,25070,22,0,1,02,14700
